graph,"metric dimension",time
"D]{",2,0.004948565001541283
"D^{",3,0.006597208004677668
"D?{",3,0.026537150995864067
"D~{",4,0.007118977002392057
"DC{",2,0.02403568800218636
"DCw",2,0.022898457005794626
"DE{",2,0.022655023996776436
"DEk",2,0.02244695899571525
"DEw",2,0.022622472999501042
"DF{",3,0.025868789001833647
"DFw",3,0.025701717000629287
"DQ{",2,0.005357426998671144
"DQo",1,0.003305400998215191
"DQw",2,0.004769474995555356
"DT{",3,0.007674663000216242
"DTw",2,0.0047106929996516556
"DU{",2,0.005222562998824287
"DUW",2,0.004067965004651342
"DUw",2,0.004810105994693004
"DV{",3,0.006840061003458686
"D]w",2,0.004890120995696634
